Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,13:35:08.296,31433,31351,31444,31392,31409,31374,31438,31409,31415,31398,31368,31345,31368,31450,31223,31456,31456,31311,31368,31363,31403,31473,31456,31345,31427,31433,31433,31438,31380,31363,31322,,,,,,,,,,,,,
Wait,13:35:08.396,31450,31380,31403,31374,31368,31450,31322,31491,31467,31351,31415,31403,31415,31403,31398,31497,31514,31473,31456,31462,31485,31502,31398,31433,31462,31270,31456,31415,31456,31444,31328,,,,,,,,,,,,,
Wait,13:35:08.412,31386,31334,31462,31357,31305,31409,31427,31421,31351,31380,31497,31322,31438,31403,31258,31497,31438,31217,31409,31450,31398,31421,31450,31467,31438,31456,31392,31427,31299,31444,31264,,,,,,,,,,,,,
Wait,13:35:08.516,31392,31386,31479,31392,31386,31433,31392,31432,31409,31363,31415,31398,31421,31409,31369,31473,31444,31340,31427,31415,31444,31421,31409,31433,31432,31322,31392,31363,31316,31456,31374,,,,,,,,,,,,,
Wait,13:35:08.697,31392,31427,31432,31415,31403,31398,31177,31444,31392,31345,31444,31433,31398,31386,31392,31403,31456,31514,31491,31380,31299,31403,31293,31392,31473,31328,31444,31368,31438,31427,31392,,,,,,,,,,,,,
Wait,13:35:08.710,31415,31380,31456,31403,31409,31386,31485,31415,31415,31363,31398,31386,31403,31380,31328,31473,31479,31392,31369,31444,31508,31473,31368,31491,31497,31415,31433,31456,31363,31421,31357,,,,,,,,,,,,,
Wait,13:35:08.896,31403,31491,31450,31380,31403,31450,31223,31450,31427,31380,31403,31328,31456,31415,31438,31456,31427,31351,31421,31485,31456,31398,31345,31415,31520,31322,31398,31398,31345,31427,31392,,,,,,,,,,,,,
Wait,13:35:08.996,31409,31386,31392,31438,31398,31491,31288,31467,31427,31334,31444,31374,31467,31456,31479,31462,31433,31444,31462,31363,31543,31514,31398,31450,31467,31282,31409,31467,31403,31473,31357,,,,,,,,,,,,,
Wait,13:35:09.024,31403,31386,31369,31415,31415,31427,31357,31438,31421,31427,31386,31386,31444,31415,31357,31403,31508,31502,31427,31409,31444,31427,31386,31450,31433,31217,31392,31409,31380,31380,31502,,,,,,,,,,,,,
Wait,13:35:09.196,31433,31345,31421,31392,31409,31398,31299,31479,31415,31369,31456,31421,31392,31392,31427,31462,31462,31311,31409,31421,31380,31415,31415,31444,31450,31369,31392,31421,31328,31380,31328,,,,,,,,,,,,,
Wait,13:35:09.296,31415,31345,31403,31403,31398,31398,31299,31462,31427,31369,31462,31421,31357,31398,31363,31421,31491,31450,31363,31421,31409,31386,31334,31386,31485,31299,31403,31328,31369,31450,31398,,,,,,,,,,,,,
Wait,13:35:09.397,31415,31450,31409,31403,31368,31473,31433,31432,31444,31438,31432,31316,31409,31403,31189,31450,31432,31264,31415,31456,31363,31479,31409,31450,31462,31462,31398,31409,31462,31444,31351,,,,,,,,,,,,,
Wait,13:35:09.497,31450,31374,31403,31351,31392,31421,31334,31398,31403,31398,31415,31316,31374,31427,31444,31433,31450,31433,31409,31409,31392,31508,31456,31357,31415,31223,31380,31392,31351,31409,31351,,,,,,,,,,,,,
Wait,13:35:09.596,31456,31456,31415,31386,31403,31415,31398,31392,31415,31433,31450,31421,31427,31398,31409,31473,31462,31398,31433,31403,31415,31427,31392,31444,31491,31328,31398,31374,31403,31438,31345,,,,,,,,,,,,,
Wait,13:35:09.696,31433,31421,31450,31351,31386,31380,31438,31415,31432,31409,31427,31386,31363,31421,31409,31467,31421,31310,31403,31409,31444,31415,31386,31462,31462,31386,31485,31421,31398,31374,31438,,,,,,,,,,,,,
Wait,13:35:09.796,31444,31322,31415,31386,31438,31403,31351,31450,31427,31334,31421,31386,31444,31380,31386,31508,31421,31340,31421,31403,31363,31467,31432,31427,31479,31421,31392,31467,31421,31432,31415,,,,,,,,,,,,,
Wait,13:35:09.896,31427,31456,31357,31438,31427,31392,31328,31497,31421,31415,31433,31444,31369,31438,31415,31450,31532,31456,31432,31345,31438,31450,31427,31415,31438,31374,31368,31351,31433,31479,31432,,,,,,,,,,,,,
Wait,13:35:09.996,31427,31433,31409,31432,31380,31438,31398,31427,31363,31438,31398,31380,31403,31351,31247,31444,31456,31224,31386,31421,31421,31345,31398,31450,31456,31497,31380,31433,31450,31433,31322,,,,,,,,,,,,,
Gesture 1,13:35:10.096,31438,31409,31462,31403,31421,31398,31462,31374,31369,31386,31450,31374,31368,31415,31247,31438,31427,31281,31462,31409,31293,31432,31398,31374,31473,31497,31456,31345,31438,31438,31357,,,,,,,,,,,,,
Gesture 1,13:35:10.197,31438,31334,31491,31368,31398,31409,31374,31462,31357,31386,31520,31369,31374,31392,31462,31403,31520,31456,31369,31386,31392,31467,31398,31497,31421,31247,31404,31374,31363,31398,31386,,,,,,,,,,,,,
Gesture 1,13:35:10.297,31386,31421,31532,31462,31386,31462,31270,31392,31467,31421,31421,31374,31374,31409,31467,31473,31450,31438,31438,31368,31380,31444,31444,31444,31398,31374,31368,31427,31310,31427,31368,,,,,,,,,,,,,
Gesture 1,13:35:10.396,31427,31374,31450,31357,31374,31380,31293,31438,31409,31328,31438,31316,31380,31351,31398,31467,31467,31409,31380,31374,31374,31415,31444,31398,31467,31259,31403,31351,31322,31398,31351,,,,,,,,,,,,,
Gesture 1,13:35:10.496,31444,31398,31386,31368,31415,31403,31363,31450,31421,31398,31415,31415,31427,31433,31310,31467,31456,31398,31392,31421,31456,31392,31433,31438,31392,31316,31444,31380,31357,31398,31380,,,,,,,,,,,,,
Gesture 1,13:35:10.597,31421,31450,31421,31392,31368,31369,31252,31462,31421,31450,31415,31415,31368,31374,31467,31450,31357,31386,31386,31444,31363,31502,31444,31433,31421,31218,31386,31380,31368,31456,31450,,,,,,,,,,,,,
Gesture 1,13:35:10.696,31438,31479,31438,31374,31368,31380,31351,31462,31403,31427,31479,31368,31403,31427,31223,31537,31450,31235,31369,31444,31479,31444,31450,31432,31450,31462,31427,31409,31310,31415,31380,,,,,,,,,,,,,
Gesture 1,13:35:10.796,31415,31380,31444,31462,31386,31392,31491,31392,31403,31398,31450,31409,31403,31357,31247,31432,31444,31241,31421,31398,31380,31438,31421,31409,31456,31427,31386,31368,31398,31427,31392,,,,,,,,,,,,,
Gesture 1,13:35:10.897,31456,31409,31456,31403,31421,31403,31479,31403,31392,31403,31479,31357,31462,31421,31293,31427,31485,31253,31427,31456,31369,31491,31415,31345,31456,31438,31386,31386,31368,31450,31415,,,,,,,,,,,,,
Gesture 1,13:35:10.997,31427,31427,31409,31363,31380,31432,31252,31433,31398,31450,31485,31345,31386,31467,31264,31438,31462,31398,31339,31357,31444,31432,31398,31427,31421,31363,31415,31409,31339,31415,31322,,,,,,,,,,,,,
Gesture 1,13:35:11.096,31403,31438,31386,31380,31392,31427,31287,31520,31444,31450,31409,31415,31432,31403,31462,31491,31491,31473,31444,31432,31427,31462,31508,31444,31467,31223,31409,31392,31380,31479,31392,,,,,,,,,,,,,
Gesture 1,13:35:11.196,31491,31473,31438,31368,31427,31433,31374,31444,31363,31386,31438,31398,31374,31369,31427,31462,31444,31508,31409,31421,31462,31415,31409,31473,31438,31380,31386,31421,31409,31433,31502,,,,,,,,,,,,,
