P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
3467,1625,988,1502,804,1489,1393,914,936,2443,3744,1397,1296,2452,1432,1924,2583,1151,1142,966,922,1533,1652
3537,1647,975,1485,782,1463,1327,861,914,2421,3673,1445,1291,2447,1419,1933,2526,1094,1133,958,931,1516,1718
3528,1696,984,1529,782,1432,1401,870,940,2452,3722,1458,1265,2460,1432,1933,2553,1146,1125,979,892,1516,1740
3541,1661,958,1538,843,1472,1384,861,914,2430,3722,1458,1322,2456,1384,1924,2557,1177,1120,966,905,1542,1705
3537,1652,1001,1524,795,1467,1371,892,905,2425,3735,1423,1296,2425,1371,1933,2553,1173,1133,979,896,1551,1639
3537,1674,1006,1516,808,1494,1375,865,962,2438,3708,1454,1300,2469,1415,1990,2535,1133,1129,979,949,1533,1665
3541,1621,984,1551,804,1476,1388,883,905,2416,3726,1463,1309,2438,1401,1845,2583,1120,1120,949,940,1529,1678
3511,1656,971,1538,821,1441,1375,874,931,2438,3704,1428,1327,2434,1437,1951,2531,1160,1125,997,900,1524,1705
3541,1621,1015,1582,826,1472,1454,852,927,2452,3730,1432,1309,2425,1415,1902,2566,1116,1160,931,918,1502,1700
3559,1713,997,1555,812,1480,1366,861,922,2447,3669,1472,1287,2478,1432,1937,2562,1116,1142,953,900,1551,1696
3555,1647,1001,1538,839,1507,1366,874,896,2430,3700,1458,1296,2447,1432,1946,2544,1133,1111,993,887,1502,1674
3541,1683,975,1542,804,1502,1401,874,922,2474,3744,1428,1305,2443,1450,1942,2540,1146,1146,962,918,1529,1661
3581,1665,1001,1511,795,1489,1406,870,944,2430,3730,1458,1309,2425,1428,1933,2544,1133,1155,949,896,1524,1674
3616,1621,984,1529,812,1450,1388,852,958,2425,3700,1450,1305,2456,1384,1898,2562,1120,1138,931,918,1560,1678
3603,1669,962,1524,817,1507,1371,905,940,2425,3735,1437,1322,2412,1397,1929,2553,1138,1129,971,927,1573,1687
3528,1665,975,1560,804,1520,1476,870,931,2447,3735,1441,1322,2465,1371,1937,2575,1151,1133,922,936,1524,1691
3563,1696,984,1524,808,1485,1423,878,962,2390,3717,1428,1291,2482,1406,1933,2540,1063,1107,936,927,1502,1687
