P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
29465,6424,2157,1643,865,1340,681,1327,1428,870,834,1968,3212,29465,29408,29412,29390,29425,1371,1195,1749,1415,2148,3062,1261,1195,1006,1010,1450,1568,29430,29482
29469,6380,2175,1634,878,1313,733,1340,1410,878,883,1920,3216,29522,29403,29421,29403,29408,1327,1155,1788,1401,2148,3023,1252,1199,975,984,1415,1617,29456,29443
29447,6385,2184,1643,830,1305,742,1318,1437,870,870,1920,3269,29443,29447,29403,29403,29416,1331,1146,1779,1393,2166,3067,1226,1208,1015,958,1432,1582,29500,29416
29456,6350,2140,1647,865,1335,707,1318,1472,905,812,1933,3221,29504,29456,29474,29395,29399,1344,1164,1744,1362,2122,3036,1243,1199,1037,936,1415,1555,29399,29430
29518,6398,2197,1656,870,1371,738,1331,1406,874,878,1946,3234,29452,29364,29421,29438,29381,1362,1164,1797,1401,2153,3054,1234,1243,984,984,1441,1608,29456,29548
29452,6389,2219,1687,865,1309,711,1296,1437,927,870,1920,3221,29456,29447,29447,29434,29395,1371,1177,1770,1362,2122,3041,1256,1204,966,966,1458,1560,29474,29434
29496,6380,2170,1634,856,1300,747,1335,1445,865,870,1964,3260,29465,29465,29456,29438,29416,1335,1199,1757,1327,2148,3023,1252,1217,979,997,1445,1590,29412,29460
29416,6372,2184,1661,830,1331,729,1366,1428,843,861,1924,3247,29460,29447,29443,29408,29412,1366,1146,1770,1397,2144,3014,1212,1217,953,988,1410,1568,29460,29434
29491,6394,2179,1647,887,1309,716,1335,1454,874,870,1977,3221,29522,29408,29460,29482,29438,1366,1195,1775,1393,2140,3049,1248,1234,1010,979,1437,1538,29491,29496
29447,6389,2144,1639,909,1291,729,1322,1450,909,856,1907,3243,29474,29443,29390,29425,29438,1357,1182,1749,1384,2179,3023,1230,1173,1001,971,1423,1568,29447,29474
29465,6350,2179,1608,843,1274,725,1313,1441,922,874,1951,3225,29478,29434,29443,29452,29469,1335,1186,1797,1379,2135,3027,1204,1199,1001,962,1463,1582,29430,29447
29456,6380,2170,1652,848,1291,733,1327,1419,883,878,1946,3243,29465,29443,29430,29443,29430,1287,1186,1775,1388,2144,3036,1256,1217,958,953,1498,1582,29399,29504
29434,6394,2184,1669,861,1344,716,1313,1419,896,834,1929,3247,29452,29425,29460,29460,29487,1331,1173,1801,1406,2122,3014,1248,1230,1023,953,1463,1595,29403,29452
29482,6367,2188,1678,848,1318,733,1344,1441,861,914,1942,3199,29443,29456,29438,29438,29460,1335,1208,1801,1384,2100,3027,1226,1221,1006,979,1454,1595,29443,29522
29434,6363,2157,1634,826,1322,689,1318,1423,878,887,1937,3256,29482,29425,29438,29425,29487,1313,1155,1819,1379,2122,3045,1199,1221,1001,962,1458,1590,29456,29408
29513,6398,2162,1599,856,1322,703,1300,1406,874,883,1872,3251,29478,29399,29469,29430,29434,1344,1168,1775,1366,2148,3058,1217,1168,997,975,1498,1564,29513,29452
29465,6385,2148,1678,843,1305,747,1327,1428,878,852,1916,3208,29460,29425,29447,29478,29386,1349,1186,1797,1406,2162,3027,1226,1217,971,949,1410,1577,29443,29452
29518,6372,2126,1630,848,1309,725,1309,1410,834,887,1933,3251,29526,29474,29465,29474,29438,1296,1204,1797,1388,2126,3027,1221,1208,1019,984,1415,1573,29421,29447
29425,6367,2157,1674,905,1327,764,1291,1423,914,865,1898,3243,29513,29460,29412,29399,29452,1322,1173,1788,1353,2157,3041,1230,1239,975,958,1437,1555,29416,29474
29491,6367,2157,1669,848,1327,725,1327,1423,870,826,1937,3225,29452,29452,29482,29403,29399,1335,1160,1770,1366,2135,3041,1239,1230,979,971,1419,1590,29425,29478
29474,6407,2179,1652,834,1357,698,1300,1401,870,892,1933,3194,29478,29412,29408,29421,29430,1340,1177,1775,1371,2157,3049,1239,1226,984,993,1437,1555,29434,29425
29447,6350,2175,1691,878,1331,711,1344,1415,870,874,1955,3256,29478,29425,29452,29434,29491,1327,1177,1753,1371,2135,3027,1270,1199,1019,1001,1419,1568,29496,29474
29469,6358,2144,1639,856,1309,698,1335,1445,883,817,1920,3216,29412,29452,29425,29447,29478,1327,1182,1779,1406,2170,3032,1256,1208,1019,953,1419,1590,29416,29482
29438,6424,2144,1683,848,1322,698,1313,1432,883,856,1942,3251,29474,29460,29452,29478,29443,1362,1182,1757,1397,2144,3036,1226,1204,1001,958,1410,1564,29399,29430
29496,6367,2201,1630,896,1309,694,1335,1419,865,826,1951,3212,29452,29430,29425,29390,29421,1353,1155,1766,1384,2144,3023,1208,1208,997,979,1463,1590,29443,29496
29469,6385,2184,1647,856,1309,742,1353,1419,861,848,1933,3238,29487,29487,29465,29496,29425,1335,1146,1797,1401,2144,3005,1256,1226,979,958,1450,1621,29416,29469
29491,6416,2184,1647,892,1309,703,1340,1397,896,839,1924,3243,29491,29412,29403,29478,29425,1322,1186,1788,1419,2144,3032,1239,1226,997,944,1445,1546,29460,29478
29460,6372,2197,1669,874,1322,747,1313,1419,870,883,1933,3243,29465,29434,29434,29425,29452,1349,1155,1766,1379,2126,3067,1226,1217,975,993,1423,1612,29434,29460
29491,6389,2153,1643,848,1300,707,1318,1441,856,852,1902,3216,29460,29421,29430,29395,29408,1327,1142,1788,1384,2118,3067,1256,1208,979,966,1432,1555,29421,29474
29460,6420,2157,1669,883,1300,707,1313,1428,927,852,1959,3199,29456,29452,29390,29403,29438,1313,1186,1779,1388,2135,3032,1252,1208,984,984,1445,1617,29377,29500
29487,6380,2131,1617,830,1322,725,1335,1415,861,843,1920,3229,29482,29438,29430,29447,29425,1327,1177,1779,1371,2153,3014,1234,1168,993,988,1423,1568,29443,29487
29487,6350,2179,1661,878,1313,733,1300,1437,878,870,1951,3234,29496,29386,29395,29416,29452,1327,1125,1770,1379,2135,3036,1234,1208,984,971,1432,1595,29416,29447
29460,6389,2201,1665,839,1291,707,1300,1458,883,839,1920,3225,29509,29456,29430,29434,29430,1327,1160,1801,1393,2157,3010,1261,1173,975,1001,1445,1546,29425,29504
29478,6385,2157,1639,848,1313,720,1371,1397,874,848,1920,3190,29456,29434,29395,29438,29403,1318,1142,1753,1375,2157,3041,1226,1248,988,997,1388,1604,29421,29452
29434,6367,2157,1608,870,1322,716,1331,1397,826,830,1889,3221,29452,29434,29403,29452,29447,1357,1146,1770,1357,2153,3041,1217,1199,997,953,1406,1568,29399,29474
29434,6416,2162,1643,848,1322,698,1313,1415,900,852,1898,3203,29438,29487,29509,29535,29443,1349,1177,1784,1415,2153,3049,1239,1186,997,979,1428,1577,29465,29474
29456,6376,2179,1674,830,1353,738,1318,1397,914,861,1920,3208,29496,29474,29438,29452,29443,1322,1212,1766,1357,2122,3045,1243,1230,1019,966,1432,1551,29447,29469
29518,6385,2179,1634,861,1340,729,1309,1454,865,861,1916,3229,29465,29395,29447,29425,29434,1331,1199,1762,1366,2135,3032,1234,1221,1001,971,1419,1568,29443,29452
29452,6407,2175,1630,878,1313,703,1327,1428,865,817,1911,3216,29513,29430,29386,29460,29438,1384,1160,1731,1371,2122,3036,1186,1186,993,984,1406,1546,29390,29469
29412,6363,2157,1647,848,1300,703,1327,1450,909,839,1937,3216,29364,29408,29460,29509,29412,1340,1160,1770,1388,2144,3049,1208,1199,984,940,1415,1555,29478,29443
29395,6376,2175,1630,878,1309,725,1322,1454,883,878,1911,3238,29452,29377,29403,29421,29395,1344,1190,1814,1349,2162,3027,1217,1208,984,914,1437,1568,29465,29434
29386,6402,2148,1669,834,1340,738,1305,1450,900,834,1894,3212,29465,29408,29408,29395,29408,1349,1204,1762,1406,2179,3041,1239,1204,988,984,1458,1573,29469,29416
29373,6372,2166,1634,848,1349,733,1322,1410,843,900,1929,3229,29443,29460,29500,29496,29425,1362,1199,1779,1379,2140,2997,1287,1212,1006,953,1423,1564,29311,29408
